dataset,seed,method,scenario,p90_m,mean_m
UJIIndoorLoc,11,RC-NoAugCoord,clean,15.95277833135586,8.586424411841437
UJIIndoorLoc,11,RC-NoAugCoord,device_offset_-6db,16.290912562358404,8.793901695655851
UJIIndoorLoc,11,RC-NoAugCoord,persistent_bias_8db,17.75046098879756,9.030043037530936
UJIIndoorLoc,11,RC-NoAugCoord,top20_outage,67.88159833409678,25.24607180199781
UJIIndoorLoc,11,RC-NoAugCoord,top20_outage_plus_bias4db,68.0841491421136,25.09251215600113
UJIIndoorLoc,11,RC-NoCoarseHeads,clean,15.819465847611507,8.251380998203723
UJIIndoorLoc,11,RC-NoCoarseHeads,device_offset_-6db,16.497641589052833,8.687359917214847
UJIIndoorLoc,11,RC-NoCoarseHeads,persistent_bias_8db,16.621383598468043,8.617534335694494
UJIIndoorLoc,11,RC-NoCoarseHeads,top20_outage,94.57958266012724,29.83995313729791
UJIIndoorLoc,11,RC-NoCoarseHeads,top20_outage_plus_bias4db,96.40052400314092,30.190303827830096
UJIIndoorLoc,11,RC-NoConsistency,clean,16.854406548437655,8.284803255704865
UJIIndoorLoc,11,RC-NoConsistency,device_offset_-6db,16.852190503836677,8.573176213304853
UJIIndoorLoc,11,RC-NoConsistency,persistent_bias_8db,17.575406473812393,8.620402869827975
UJIIndoorLoc,11,RC-NoConsistency,top20_outage,61.1552211672436,23.673911906596217
UJIIndoorLoc,11,RC-NoConsistency,top20_outage_plus_bias4db,63.50565736642591,23.56469531240459
UJIIndoorLoc,11,RC-NoCorruption,clean,17.41839164301961,8.896099295634528
UJIIndoorLoc,11,RC-NoCorruption,device_offset_-6db,18.12944753209116,9.59961402481477
UJIIndoorLoc,11,RC-NoCorruption,persistent_bias_8db,18.606838931148715,9.3372857921089
UJIIndoorLoc,11,RC-NoCorruption,top20_outage,107.31680727442097,38.61117349789215
UJIIndoorLoc,11,RC-NoCorruption,top20_outage_plus_bias4db,106.35495656635848,38.1732402356886
UJIIndoorLoc,11,RC-NoMask,clean,15.42568219551096,8.305192093208557
