dataset,seed,method,estimator,scenario,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m,parameters,train_seconds,best_epoch,trained_epochs
UJIIndoorLoc,11,RC-NoAugCoord,direct,clean,1111.0,8.800405502319336,7.100822925567627,11.382084846496582,11.294762134552002,16.53289031982422,21.40613555908203,0.1476147614761476,2972146,1834.3974746000024,173,200
UJIIndoorLoc,11,RC-NoAugCoord,fused,clean,1111.0,8.586424411841437,6.879698033060662,11.23347363504852,11.06109464536686,15.95277833135586,21.14588996841879,0.1683168316831683,2972146,1834.3974746000024,173,200
UJIIndoorLoc,11,RC-NoAugCoord,direct,device_offset_-6db,1111.0,8.964018821716309,7.515816211700439,11.523553848266602,11.273723602294922,16.17057991027832,21.18031406402588,0.1503150315031503,2972146,1834.3974746000024,173,200
UJIIndoorLoc,11,RC-NoAugCoord,fused,device_offset_-6db,1111.0,8.793901695655851,7.132487178409354,11.43043724062398,11.162764288553392,16.290912562358404,21.096118229851097,0.1539153915391539,2972146,1834.3974746000024,173,200
UJIIndoorLoc,11,RC-NoAugCoord,direct,persistent_bias_8db,1111.0,9.296072959899902,7.694499492645264,11.888525009155272,11.887915134429932,17.709787368774414,22.695995330810547,0.1395139513951395,2972146,1834.3974746000024,173,200
UJIIndoorLoc,11,RC-NoAugCoord,fused,persistent_bias_8db,1111.0,9.030043037530936,7.349081049286938,11.673838602874836,11.72840004933953,17.75046098879756,22.446119324981797,0.1575157515751575,2972146,1834.3974746000024,173,200
UJIIndoorLoc,11,RC-NoAugCoord,direct,top20_outage,1111.0,25.347251892089844,12.61970043182373,43.58927536010742,26.83188533782959,66.92552185058594,96.72012329101562,0.0648064806480648,2972146,1834.3974746000024,173,200
UJIIndoorLoc,11,RC-NoAugCoord,fused,top20_outage,1111.0,25.24607180199781,12.108924525301584,44.05777171127791,25.977507915603947,67.88159833409678,100.2988443533322,0.0792079207920792,2972146,1834.3974746000024,173,200
UJIIndoorLoc,11,RC-NoAugCoord,direct,top20_outage_plus_bias4db,1111.0,25.243423461914062,12.363640785217283,43.34653854370117,26.88925647735596,67.70881652832031,96.01687622070312,0.0684068406840684,2972146,1834.3974746000024,173,200
UJIIndoorLoc,11,RC-NoAugCoord,fused,top20_outage_plus_bias4db,1111.0,25.09251215600113,11.9139635049811,43.69878113645585,25.59410501363314,68.0841491421136,97.82072136270084,0.0765076507650765,2972146,1834.3974746000024,173,200
UJIIndoorLoc,11,RC-NoCoarseHeads,direct,clean,1111.0,8.799005508422852,7.13766622543335,11.554642677307127,11.152956485748293,16.84044647216797,20.858152389526367,0.1611161116111611,2972146,135.6269640000537,47,77
UJIIndoorLoc,11,RC-NoCoarseHeads,fused,clean,1111.0,8.251380998203723,6.510709731454473,11.03953969178887,10.513906975409023,15.819465847611507,20.270015561448425,0.1926192619261926,2972146,135.6269640000537,47,77
UJIIndoorLoc,11,RC-NoCoarseHeads,direct,device_offset_-6db,1111.0,9.118170738220217,7.501978397369385,11.77663516998291,11.416713237762451,16.878198623657227,20.967424392700195,0.1404140414041404,2972146,135.6269640000537,47,77
UJIIndoorLoc,11,RC-NoCoarseHeads,fused,device_offset_-6db,1111.0,8.687359917214847,6.891682862826075,11.444132956685474,10.819018853782149,16.497641589052833,20.787025608212232,0.1665166516651665,2972146,135.6269640000537,47,77
