dataset,seed,method,gamma,k,power,blend,val_n,val_mean_m,val_median_m,val_rmse_m,val_p75_m,val_p90_m,val_p95_m,val_within_3m
UJIIndoorLoc,11,RC-NoAugCoord,2.0,17,2.0,0.85,3576.0,7.393618097485229,5.411037231444636,11.868397566492582,9.271615722061432,13.615706316727668,18.334606779856387,0.2427293064876957
UJIIndoorLoc,11,RC-NoCoarseHeads,2.0,5,2.0,0.7,3576.0,7.336223669236755,5.348829859668314,11.488340011146104,8.876963502150469,13.8526320105629,19.01277532886497,0.2223154362416107
UJIIndoorLoc,11,RC-NoConsistency,1.0,5,1.0,"('adaptive', 0.3, 13.573118046781541)",3576.0,7.433777821480356,5.356224260292162,11.95250729501365,9.223990421827676,13.637062903252897,18.712567040454687,0.2248322147651006
UJIIndoorLoc,11,RC-NoCorruption,2.0,11,2.0,"('adaptive', 0.0, 15.037996307811714)",3576.0,7.917509144506068,5.702193643153954,12.58338341271568,9.677260783294498,14.89056861883807,19.452618598044605,0.1935123042505593
UJIIndoorLoc,11,RC-NoMask,0.0,7,2.0,"('adaptive', 0.3, 18.21759915624992)",3576.0,7.874979012935402,5.777631375315978,12.339037388655823,9.535016543573017,14.506097255097528,19.102224588921587,0.2080536912751678
UJIIndoorLoc,11,RC-NoReconstruction,2.0,7,2.0,"('adaptive', 0.15, 7.525753072155037)",3576.0,7.48921597770642,5.397809182182748,11.970898526130345,9.087453655723728,13.75430508387658,19.133449363813845,0.20665548098434
UJIIndoorLoc,22,RC-NoAugCoord,2.0,7,2.0,"('adaptive', 0.0, 15.316242158180168)",3479.0,8.358418625300144,5.878141208950511,14.854155558198544,9.70259165374312,14.930366832023411,20.60163840128916,0.2017821212992239
UJIIndoorLoc,22,RC-NoCoarseHeads,2.0,17,2.0,0.85,3479.0,7.061871713640979,4.690276338042943,13.22440172099797,8.07802003584473,13.158855213108811,17.695963986681683,0.3023857430296062
UJIIndoorLoc,22,RC-NoConsistency,2.0,11,2.0,"('adaptive', 0.15, 16.015163397852493)",3479.0,7.720060663926846,5.436049837084525,13.456831198925288,9.10342791627406,14.126651499875928,18.517937392137583,0.2316757688991089
UJIIndoorLoc,22,RC-NoCorruption,2.0,11,1.0,0.7,3479.0,7.605458532635855,5.247933072842214,13.643657129258546,8.878106072005526,14.283558238104463,18.97683470017597,0.2405863753952285
UJIIndoorLoc,22,RC-NoMask,2.0,17,2.0,0.85,3479.0,7.383491269252523,5.0146474698942445,13.419471611474776,8.30026205808904,13.168077307638596,18.832838132393608,0.2526588100028744
UJIIndoorLoc,22,RC-NoReconstruction,2.0,17,1.0,"('adaptive', 0.3, 7.240023432088286)",3479.0,7.441124158833791,5.009686647502776,13.390906267880796,8.445696401284785,13.580857042848285,18.312265928512325,0.2431733256682955
UJIIndoorLoc,33,RC-NoAugCoord,2.0,17,2.0,0.7,3604.0,7.489841273457789,5.227691494131671,12.66646948839781,9.441578937566051,14.067437007992655,18.601571424713804,0.2555493895671476
UJIIndoorLoc,33,RC-NoCoarseHeads,2.0,11,2.0,0.7,3604.0,7.337564917609676,4.958509560839889,12.4574918650714,8.698478730715507,14.368725562207755,19.80688386675952,0.2455604883462819
