dataset,method,n_seeds,mean_m_mean,median_m_mean,rmse_m_mean,p75_m_mean,p90_m_mean,p95_m_mean,p99_m_mean,cvar90_m_mean,cvar95_m_mean,within_1m_mean,within_3m_mean,within_5m_mean,within_10m_mean,mean_m_std,median_m_std,p90_m_std,p95_m_std,cvar95_m_std
Tampere,AaT-base-reimpl,5,9.319709014892577,8.694866180419922,10.706238937377929,12.640161752700806,16.38982301712036,18.86475206375121,24.267499019622793,19.770023345947266,22.018595886230468,0.011812627291242363,0.10610997963340123,0.23930753564154786,0.5883910386965376,0.6326409549105146,0.5999100710834216,1.317475763588474,1.6881048474173779,2.4845572674145933
Tampere,CNN-RSS-reimpl,5,13.046472549438477,11.214691352844238,15.62447910308838,17.313734149932863,25.10117317199707,29.633528308868403,39.15188413238523,31.49437141418457,35.73390655517578,0.009572301425661914,0.06924643584521385,0.15539714867617108,0.4321792260692464,0.33858284757184093,0.3258279773521094,1.1374473292543121,1.6830042927091071,1.831212621303893
Tampere,DNNBN-reimpl,5,7.757095241546631,7.074490737915039,8.967931365966797,10.494176864624023,13.811260604858399,15.77472036361694,20.403890785217268,16.741837120056154,18.78106117248535,0.015071283095723014,0.1360488798370672,0.320162932790224,0.714867617107943,0.519455419364293,0.5536322475626231,0.7060210955116676,0.925632950722993,1.7139335895678884
Tampere,ExtraTrees,5,8.174145437919254,7.542644821034111,9.74594422042626,11.05158739833099,14.90603113035424,17.960904010913502,23.890517359936403,19.134112322649315,21.989564327918565,0.02484725050916497,0.16232179226069246,0.3226069246435845,0.6835030549898167,0.3438348275462757,0.19508417436418696,1.0050438015141572,1.5578789302213858,2.6644854867642738
Tampere,PCA-WKNN,5,6.833857910704931,6.119798670916642,8.03895524277811,9.51689050766815,12.81243205898746,14.719234643522896,18.40318385501238,15.387567241839424,17.0556072073888,0.028716904276985745,0.20183299389002038,0.39368635437881877,0.7830957230142566,0.20549617705455805,0.23924919300659564,0.6453507053585891,0.7851035647808967,0.8295166016844642
Tampere,RC-Direct,5,7.204318428039551,6.567958164215088,8.372351264953613,10.086738634109498,13.277053127288815,15.022503290176385,18.13481013107299,15.456256484985351,16.84494819641113,0.027291242362525458,0.18615071283095724,0.35926680244399184,0.745010183299389,0.16186625056392864,0.27667150870643065,0.19164713628539795,0.2813286062914013,0.42214542017957735
Tampere,RC-Loc,5,7.061923154127692,6.465845511116433,8.216462885327678,9.947494084625449,12.881432260285038,14.554559528663125,18.005297474223084,15.187159038514158,16.67896802165626,0.026680244399185336,0.1920570264765784,0.3739307535641548,0.7535641547861507,0.1220867980095304,0.21415786435400022,0.14699324593812857,0.4026743580848,0.32742227456825196
UJI-Library-25M,AaT-base-reimpl,5,3.3162820816040037,3.0312642097473144,3.9051690101623535,4.587445664405823,6.071561098098756,7.211073727607729,9.133343584060663,7.4978835105896,8.419184303283691,0.11668205128205127,0.4949974358974359,0.8070179487179487,0.9959871794871795,0.12995693442364065,0.0729557467725484,0.4107066316320443,0.6189752820001408,0.6462185001978306
UJI-Library-25M,CNN-RSS-reimpl,5,4.181060791015625,3.652260589599609,4.961928653717041,5.904163980484009,8.047043247222902,9.223525333404542,11.355234903335566,9.559714126586915,10.531049156188965,0.08038461538461539,0.40493076923076926,0.6638358974358974,0.9698,0.19353605987875663,0.19122615057963332,0.553629385042376,0.7427010311235207,0.9763635943188822
UJI-Library-25M,DNNBN-reimpl,5,3.179623031616211,2.938430118560791,3.7005298137664795,4.4092682838439945,5.7774356174468995,6.668856768608093,8.3095579919815,6.919764804840088,7.663958930969239,0.11308461538461538,0.5117461538461539,0.8278282051282051,0.9985974358974359,0.10893823090750498,0.06532722806348397,0.3157708190853297,0.4763330779724307,0.6047756808507121
UJI-Library-25M,ExtraTrees,5,2.9869727169071143,2.8292397736900603,3.3805255847706284,4.120857342473912,5.1859509067957505,5.764323840955601,6.7924776295859335,5.924018968383488,6.396708982443425,0.0999153846153846,0.5361282051282051,0.8789333333333333,1.0,0.016708743560344415,0.011181462187755424,0.04251033948824697,0.06276126047929935,0.09189429595963981
UJI-Library-25M,PCA-WKNN,5,3.000059526242404,2.7600509864814513,3.473407734899619,4.0962044448830515,5.343677411136742,6.191324198093497,7.962561247558246,6.488621601731419,7.245703000008843,0.11095897435897437,0.5493282051282051,0.8692846153846154,0.9990923076923076,0.1374395029881608,0.08632170041121501,0.33423867290742676,0.5265962037877845,0.795565820799947
UJI-Library-25M,RC-Direct,5,2.774040699005127,2.374722385406494,3.3556849002838134,3.844965028762817,5.346950826644898,6.471597404479982,8.606118106842038,6.795427131652832,7.756773853302002,0.16094102564102564,0.6217153846153847,0.8769692307692308,0.9981512820512821,0.18396964127814525,0.15274954768495883,0.48614219812964815,0.5121917852675942,0.5188827037743117
UJI-Library-25M,RC-Loc,5,2.7078453739181985,2.3415886780342183,3.2344644365575066,3.693145642380415,5.122170798261008,6.170121651842204,8.164844121574514,6.477672376797027,7.37480922131212,0.1499897435897436,0.6394820512820513,0.8910333333333333,0.9988589743589744,0.12440631949407331,0.09573001216605773,0.37423651035862476,0.3931464618631416,0.45039295782555544
UJIIndoorLoc,AaT-base-reimpl,5,8.974838638305664,7.025261497497558,11.914142227172851,11.36836929321289,17.203614807128908,22.816735458374023,39.03257217407233,26.442151260375976,33.36207160949707,0.018361836183618363,0.1641764176417642,0.3308730873087309,0.682988298829883,0.17627977037943574,0.11490144038157625,0.3673160247549218,0.44584512347814914,0.9373381071759812
UJIIndoorLoc,CNN-RSS-reimpl,5,23.33495750427246,15.195577239990234,33.89581642150879,28.098591232299803,52.345881652832034,74.40363502502441,122.34992599487336,82.83026275634765,103.98114471435547,0.0054005400540054005,0.04302430243024302,0.10081008100810081,0.31287128712871287,1.1582521588803925,0.2465196470863498,3.829894875954811,8.730541341439608,13.0223367210699
UJIIndoorLoc,DNNBN-reimpl,5,10.140588188171387,7.241076850891114,14.782698249816894,12.155045795440675,19.613920593261717,27.47411193847656,61.354170150757206,34.256872940063474,45.85681304931641,0.017101710171017102,0.14077407740774078,0.3108910891089109,0.6685868586858686,0.23403591315062663,0.18922245472860239,0.7141503684483673,0.9103156025145007,3.403398283316645
UJIIndoorLoc,ExtraTrees,5,10.791693194862603,7.748978997262168,15.087350475099154,13.813139012465125,23.226726176547505,30.350678292795987,54.03432891615546,35.07404690574078,43.877862445124094,0.030243024302430244,0.16777677767776777,0.3227722772277227,0.6142214221422142,0.18562835776509756,0.10055343545583502,0.8394000589305343,1.2584126028647833,2.582249482143634
UJIIndoorLoc,PCA-WKNN,5,9.507343273796183,5.936711939168651,18.090904792205844,10.978523075336033,18.83020913213507,26.352942751533647,58.74102934733818,38.53864014548746,55.31152364133136,0.05508550855085509,0.2513051305130513,0.43330333033303325,0.7137713771377138,0.3310251937426981,0.21032154113017562,0.4178835690775381,0.8373544201113806,6.337462366761396
UJIIndoorLoc,RC-Direct,5,8.514281082153321,6.596656703948975,11.301630592346191,10.971170806884766,16.697960662841798,21.33817825317383,37.060224380493295,24.84717712402344,31.10813636779785,0.026822682268226823,0.17623762376237623,0.35805580558055805,0.7067506750675068,0.27693138068655215,0.3746381292978574,0.4939754297295165,0.9355153826646417,0.5953954145198784
UJIIndoorLoc,RC-Loc,5,8.156372435529926,6.231718066401585,11.066600409007354,10.488150733839985,16.159257212069367,21.153611062764167,37.805300182746706,24.736029733302043,31.289838800166923,0.03438343834383438,0.21242124212421243,0.3963996399639964,0.7296129612961296,0.21646340585436413,0.18672107508441607,0.6148902015913063,0.7112954927380667,0.3716923053940426
UTSIndoorLoc,AaT-base-reimpl,5,7.461468982696533,6.4630560874938965,9.121720314025879,9.528335475921631,12.915676765441896,16.676716995239254,29.438312683105465,18.99160385131836,23.315129852294923,0.01958762886597938,0.14948453608247422,0.3546391752577319,0.7752577319587629,0.0860606312439343,0.22099331330699942,0.5702152722832136,0.5992349083579702,0.30679573576231006
UTSIndoorLoc,CNN-RSS-reimpl,5,8.505379581451416,7.250848579406738,10.282705688476563,11.08948736190796,15.937949848175048,19.30811248779296,28.034692562103267,21.31332015991211,25.042948532104493,0.013402061855670102,0.13298969072164948,0.30412371134020616,0.7015463917525773,0.371583600036068,0.559645313452466,0.4029089880000995,1.1708463401783658,1.5120580368874634
UTSIndoorLoc,DNNBN-reimpl,5,7.36999397277832,6.448011589050293,8.898791885375976,9.343481397628784,12.897344779968261,16.103687639236444,27.66208774948119,18.37448921203613,22.25352249145508,0.01958762886597938,0.15257731958762885,0.34329896907216495,0.7902061855670104,0.17856439091143153,0.22525538284329227,0.3275416058814565,0.5632960822243426,0.5932379005676436
