dataset,seed,outage_fraction,bias_sd_db,method,n,mean_m,median_m,rmse_m,p75_m,p90_m,p95_m,within_3m
UJIIndoorLoc,11,0.0,0.0,PCA-WKNN,1111.0,9.620768488593482,6.226290263824744,17.510733020733202,11.259739182313016,19.415638509853,27.83512053660512,0.24752475247524752
UJIIndoorLoc,11,0.0,0.0,AaT-base-reimpl,1111.0,9.21155071258545,7.214625358581543,12.201760292053223,11.603536128997803,17.753631591796875,22.928714752197266,0.1557155715571557
UJIIndoorLoc,11,0.0,0.0,RC-Direct,1111.0,8.931227684020996,7.243617534637451,11.515079498291016,11.604595184326172,16.788253784179688,21.210988998413086,0.1413141314131413
UJIIndoorLoc,11,0.0,0.0,RC-Loc,1111.0,8.361501951958441,6.522805657687367,11.23534343346276,10.990531298386959,15.831565719618283,20.88125577009749,0.19891989198919893
UJIIndoorLoc,11,0.0,4.0,PCA-WKNN,1111.0,9.588215304166026,6.142832863233231,16.940928892974743,11.371978959550253,19.66431225617619,27.976709424777304,0.24842484248424843
UJIIndoorLoc,11,0.0,4.0,AaT-base-reimpl,1111.0,9.322659492492676,7.448273181915283,12.242411613464355,11.775340557098389,17.899194717407227,24.5049467086792,0.13591359135913592
UJIIndoorLoc,11,0.0,4.0,RC-Direct,1111.0,9.084832191467285,7.229503154754639,11.708014488220215,12.047251224517822,17.256635665893555,21.299108505249023,0.13591359135913592
UJIIndoorLoc,11,0.0,4.0,RC-Loc,1111.0,8.483689137080288,6.630214446155262,11.381926479950716,11.353847672975093,16.5028400361145,20.99748485325658,0.20252025202520252
UJIIndoorLoc,11,0.0,8.0,PCA-WKNN,1111.0,9.652041696727782,6.304859341033666,17.53423844813972,11.625902987897,19.478737048596074,26.908433001233966,0.25742574257425743
UJIIndoorLoc,11,0.0,8.0,AaT-base-reimpl,1111.0,9.340859413146973,7.405050277709961,12.164414405822754,11.926000595092773,18.4130802154541,23.647172927856445,0.13591359135913592
UJIIndoorLoc,11,0.0,8.0,RC-Direct,1111.0,8.895560264587402,7.318358898162842,11.471254348754883,11.563105583190918,17.08247947692871,21.60784339904785,0.14581458145814583
UJIIndoorLoc,11,0.0,8.0,RC-Loc,1111.0,8.345894185920269,6.765179874962111,11.144043877073715,10.793877125040279,16.16573261208091,20.941491008854232,0.20432043204320433
UJIIndoorLoc,11,0.1,0.0,PCA-WKNN,1111.0,27.628559505135254,8.32941004794374,51.41161699236155,21.66165000845487,104.2341089155263,144.84508056683367,0.2007200720072007
UJIIndoorLoc,11,0.1,0.0,AaT-base-reimpl,1111.0,15.347143173217773,9.131232261657715,24.30963706970215,17.12360668182373,33.07553482055664,51.771711349487305,0.11791179117911792
UJIIndoorLoc,11,0.1,0.0,RC-Direct,1111.0,14.901195526123047,8.525904655456543,25.33604621887207,15.0532808303833,31.18972396850586,56.47568321228027,0.11611161116111611
UJIIndoorLoc,11,0.1,0.0,RC-Loc,1111.0,14.308479277102416,7.973945459343746,25.220838283613443,13.74237414908179,29.760145155974367,57.19650641114531,0.162016201620162
UJIIndoorLoc,11,0.1,4.0,PCA-WKNN,1111.0,27.831268485905902,8.480941101423722,51.93283005534449,21.217705114304188,107.79398935929818,146.33036775795497,0.2079207920792079
UJIIndoorLoc,11,0.1,4.0,AaT-base-reimpl,1111.0,15.318517684936523,9.336179733276367,24.129531860351562,17.28805160522461,33.3671760559082,53.04899024963379,0.1116111611161116
