dataset,seed,gamma,k,power,direct_blend,val_n,val_mean_m,val_median_m,val_rmse_m,val_p75_m,val_p90_m,val_p95_m,val_within_3m
UJIIndoorLoc,11,2.0,11,1.0,"('adaptive', 0.15, 15.29262799525254)",3576.0,7.588264596197103,5.528075791151319,12.02677749277235,9.239485969056147,14.417639137893953,19.13968099415805,0.21196868008948547
UJIIndoorLoc,22,2.0,17,1.0,"('adaptive', 0.3, 12.749383643693871)",3479.0,7.420434982566406,5.066936801001124,13.27440976329905,8.62983417519708,13.573567692855782,17.909879508165012,0.2566829548720897
UJIIndoorLoc,33,0.25,17,2.0,0.85,3604.0,7.446155706057062,5.224235577446266,12.571058132509021,9.295436218899813,14.10065125159444,18.316463668320615,0.24611542730299668
UJIIndoorLoc,44,0.25,17,2.0,"('adaptive', 0.15, 12.64209218877054)",3699.0,6.279779757565198,4.846259367606406,8.28537968316174,8.499811856312526,12.648541047807207,15.741114176034,0.2835901595025683
UJIIndoorLoc,55,0.25,17,1.0,"('adaptive', 0.3, 12.177955816482893)",3620.0,6.8033803840381495,5.052093075877231,11.110078363265341,8.69017940330064,12.675471250027847,16.19872368913325,0.24005524861878452
UTSIndoorLoc,11,0.0,3,1.0,"('adaptive', 0.15, 2.0123882293701207)",1682.0,4.147531531671951,2.960251424933558,5.443572696820721,5.709844298326066,7.982484829421707,10.401015122087829,0.5101070154577884
UTSIndoorLoc,22,2.0,3,1.0,0.85,1627.0,3.950095268675609,2.9640794478251866,5.142264726837684,5.2411076664567995,7.644772367778045,9.950484217650342,0.5113706207744315
UTSIndoorLoc,33,2.0,3,1.0,"('adaptive', 0.3, 3.530830325085029)",1606.0,3.8003006651186846,2.972287075979419,4.930672494989873,4.751955578234576,6.949959102852718,8.686818235693798,0.5037359900373599
UTSIndoorLoc,44,1.0,3,1.0,0.85,1636.0,3.9256168145559407,2.6701525039379645,5.241535291751621,4.970523380915674,7.680328341152011,10.45709612046279,0.5501222493887531
UTSIndoorLoc,55,0.0,5,2.0,"('adaptive', 0.3, 2.0433273315429723)",1504.0,3.8133009799193998,2.905815613003057,4.829406040712352,4.623210425455348,7.686153762376528,10.013213703940162,0.5378989361702128
Tampere,11,0.0,5,1.0,"('adaptive', 0.15, 9.041493538838324)",81.0,4.878381477041003,3.753935461585375,6.057039825134302,6.323644985827916,7.9225419904067795,8.975710304975133,0.32098765432098764
Tampere,22,2.0,7,2.0,0.85,81.0,5.680941523898603,3.881349434364485,9.331444237045462,7.020041703948696,9.006425148811681,11.281349024820093,0.19753086419753085
Tampere,33,0.25,3,1.0,"('adaptive', 0.15, 13.598947969068595)",81.0,5.393559362684092,3.9423519940394574,9.148707749948823,6.0187737406365756,7.799880801964573,10.734082009761375,0.24691358024691357
Tampere,44,1.0,5,1.0,"('adaptive', 0.0, 15.385659994801385)",81.0,4.581028981754201,3.6984292636337277,5.623476070192656,5.887624895562937,7.925340154172568,11.783881349222543,0.37037037037037035
Tampere,55,0.5,5,1.0,0.85,81.0,4.700703699639149,3.823509975957976,5.828998353160486,5.808540993892932,7.668566963967742,8.689496206352258,0.32098765432098764
UJI-Library-25M,11,0.0,17,2.0,0.85,1800.0,1.5820126803047636,1.2843766868696864,1.954011213997035,2.1453526897894797,3.1275697117026326,3.770487991868304,0.8827777777777778
UJI-Library-25M,22,0.0,17,1.0,0.85,1800.0,1.8839217200639513,1.329118656690711,2.488202855859824,2.4419068110186126,4.0438510857924355,5.247611059827174,0.805
UJI-Library-25M,33,0.0,7,2.0,0.7,1800.0,2.698820229480079,2.290691963750991,3.1079566023658396,3.7810625242169555,4.601155014269901,5.208297399383537,0.6316666666666667
UJI-Library-25M,44,0.0,3,1.0,1.0,1800.0,1.9850562834576284,1.5178905714038184,2.549449316582828,2.8524743731568747,4.2778687526038714,4.579520042008239,0.7644444444444445
UJI-Library-25M,55,0.0,17,1.0,"('adaptive', 0.3, 3.1923558918211214)",1800.0,1.8431356662648077,1.2602114267569338,2.440914245215169,2.7626514352976916,4.227356105913365,4.497684223468047,0.7655555555555555
