dataset,seed,method,mean_m,median_m,p90_m,p95_m,within_3m,floor_accuracy,building_accuracy
UJIIndoorLoc,11,PCA-WKNN,9.620768488593482,6.226290263824744,19.415638509853,27.83512053660512,0.2475247524752475,,
UJIIndoorLoc,22,PCA-WKNN,9.261198729450015,5.80191569011487,18.7458267838832,25.80557545354679,0.2484248424842484,,
UJIIndoorLoc,33,PCA-WKNN,9.735900077452207,6.005225531410398,18.87928142733645,26.14119120158748,0.2367236723672367,,
UJIIndoorLoc,44,PCA-WKNN,9.066978568304089,5.674580920433402,18.86734736087816,26.022573528975503,0.2619261926192619,,
UJIIndoorLoc,55,PCA-WKNN,9.85187050518112,5.975547290059845,18.242951578724544,25.96025303695332,0.2619261926192619,,
UTSIndoorLoc,11,PCA-WKNN,8.639360810182945,7.368828419320443,15.697370429629164,19.154104359614458,0.1314432989690721,,
UTSIndoorLoc,22,PCA-WKNN,9.045715462537125,7.746992939093929,16.042774728827176,19.637542096159592,0.1365979381443298,,
UTSIndoorLoc,33,PCA-WKNN,7.944338444101324,7.387582066093705,13.3966415568457,15.72770274501615,0.1443298969072164,,
UTSIndoorLoc,44,PCA-WKNN,8.175967752951971,7.171850310677256,14.405219771318658,18.09636160085897,0.1365979381443298,,
UTSIndoorLoc,55,PCA-WKNN,8.250863299064484,7.543659422372858,14.777628049851147,17.1888486262943,0.1597938144329896,,
Tampere,11,PCA-WKNN,6.617959050396149,6.01919131361677,12.347607058072953,14.130955210535742,0.2057026476578411,,
Tampere,22,PCA-WKNN,6.73794911031594,5.746360503786203,13.081277808061518,15.548641714446292,0.230142566191446,,
Tampere,33,PCA-WKNN,7.108933036211241,6.332336716491929,13.201429984724662,15.07497946301473,0.1873727087576374,,
Tampere,44,PCA-WKNN,6.716645907515186,6.24761142079077,11.938869852894175,13.670172373647256,0.1822810590631364,,
Tampere,55,PCA-WKNN,6.9878024490861375,6.2534933998975335,13.492975591183995,15.171424455970463,0.2036659877800407,,
UJI-Library-25M,11,PCA-WKNN,3.1583115040904968,2.860919882100823,5.678420370929089,6.64473215182577,0.5180384615384616,,
UJI-Library-25M,22,PCA-WKNN,2.924799993440512,2.758785388341942,5.083472999839867,5.751123954814839,0.5562948717948718,,
UJI-Library-25M,33,PCA-WKNN,2.87107123473938,2.6691083611146995,5.008950688129859,5.743266332919023,0.5764230769230769,,
UJI-Library-25M,44,PCA-WKNN,2.9065349326218635,2.680482550780869,5.227588786869012,5.95347131551656,0.5658589743589744,,
UJI-Library-25M,55,PCA-WKNN,3.13957996631977,2.8309587500689237,5.7199542099158815,6.864027235391294,0.530025641025641,,
UJIIndoorLoc,11,AaT-base-reimpl,9.21155071258545,7.214625358581543,17.753631591796875,22.928714752197266,0.1557155715571557,0.90999099909991,0.9990999099909992
UJIIndoorLoc,22,AaT-base-reimpl,9.067352294921877,7.009778022766113,17.366405487060547,22.339275360107425,0.1683168316831683,0.9144914491449144,0.9990999099909992
UJIIndoorLoc,33,AaT-base-reimpl,8.872044563293457,7.031890869140625,16.80735969543457,23.48008918762207,0.1701170117011701,0.9072907290729072,0.9990999099909992
UJIIndoorLoc,44,AaT-base-reimpl,8.753214836120605,6.921311378479004,17.00324249267578,22.480446815490723,0.1512151215121512,0.9108910891089108,0.9990999099909992
UJIIndoorLoc,55,AaT-base-reimpl,8.970030784606934,6.948701858520508,17.087434768676758,22.85515117645264,0.1755175517551755,0.918091809180918,0.9990999099909992
UTSIndoorLoc,11,AaT-base-reimpl,7.56740665435791,6.81920862197876,12.131986808776858,16.983238029479974,0.1237113402061855,0.9252577319587628,1.0
UTSIndoorLoc,22,AaT-base-reimpl,7.522246837615967,6.268405914306641,13.704179477691651,16.362111473083488,0.1752577319587628,0.9201030927835052,1.0
UTSIndoorLoc,33,AaT-base-reimpl,7.465212345123291,6.412615776062012,13.013152885437012,17.582510757446276,0.1443298969072164,0.9201030927835052,1.0
UTSIndoorLoc,44,AaT-base-reimpl,7.367105484008789,6.5121846199035645,12.70650978088379,16.12787532806396,0.1572164948453608,0.9072164948453608,1.0
UTSIndoorLoc,55,AaT-base-reimpl,7.385373592376709,6.302865505218506,13.022554874420171,16.327849388122555,0.1469072164948453,0.9201030927835052,1.0
