dataset,method,n_seeds,mean_m_mean,mean_m_std,median_m_mean,median_m_std,p90_m_mean,p90_m_std,p95_m_mean,p95_m_std,floor_accuracy_mean,floor_accuracy_std,building_accuracy_mean,building_accuracy_std
UJIIndoorLoc,PCA-WKNN,5,9.507343273796183,0.331025193742698,5.936711939168653,0.21032154113017545,18.83020913213507,0.41788356907753804,26.35294275153364,0.8373544201113813,,,,
UJIIndoorLoc,AaT-base-reimpl,5,8.974838638305664,0.17627977037943596,7.025261497497558,0.11490144038157633,17.203614807128908,0.3673160247549213,22.816735458374023,0.4458451234781481,0.9121512151215121,0.004202562567031058,0.9990999099909992,0.0
UJIIndoorLoc,RC-Loc,5,8.156372435529926,0.2164634058543645,6.231718066401585,0.18672107508441585,16.159257212069367,0.6148902015913064,21.153611062764167,0.7112954927380656,0.9137713771377138,0.004905284102048173,0.9990999099909992,0.0
UTSIndoorLoc,PCA-WKNN,5,8.411249153767569,0.4340705574891763,7.443782631511638,0.21484627560755784,14.863926907294367,1.0553549545397978,17.960911885588693,1.5681556452028749,,,,
UTSIndoorLoc,AaT-base-reimpl,5,7.461468982696533,0.08606063124393432,6.4630560874938965,0.22099331330699942,12.915676765441896,0.570215272283213,16.676716995239254,0.5992349083579701,0.9185567010309278,0.006720827221858397,1.0,0.0
UTSIndoorLoc,RC-Loc,5,6.954059525609679,0.1813030157237602,5.959261151162236,0.16120111539339899,11.921244900823712,0.44992688548048554,15.211895843661514,0.7136645954348595,0.9304123711340206,0.009469676840656582,1.0,0.0
Tampere,PCA-WKNN,5,6.833857910704931,0.20549617705455836,6.119798670916641,0.23924919300659553,12.81243205898746,0.6453507053585888,14.719234643522896,0.7851035647808969,,,,
Tampere,AaT-base-reimpl,5,9.319709014892577,0.6326409549105146,8.694866180419922,0.5999100710834212,16.38982301712036,1.317475763588476,18.86475206375121,1.6881048474173774,0.8531568228105906,0.03611412048952544,1.0,0.0
Tampere,RC-Loc,5,7.061923154127692,0.12208679800953008,6.465845511116433,0.2141578643540007,12.881432260285038,0.14699324593812926,14.554559528663123,0.4026743580847999,0.9173116089613036,0.0052619188117164,1.0,0.0
UJI-Library-25M,PCA-WKNN,5,3.0000595262424046,0.13743950298816068,2.7600509864814513,0.08632170041121524,5.343677411136741,0.334238672907427,6.191324198093497,0.5265962037877844,,,,
UJI-Library-25M,AaT-base-reimpl,5,3.3162820816040037,0.12995693442364062,3.0312642097473144,0.07295574677254836,6.071561098098756,0.41070663163204446,7.211073727607729,0.6189752820001411,1.0,0.0,1.0,0.0
UJI-Library-25M,RC-Loc,5,2.707845373918198,0.12440631949407348,2.3415886780342183,0.09573001216605773,5.122170798261008,0.3742365103586248,6.170121651842204,0.39314646186314156,1.0,0.0,1.0,0.0
